Title,Global Version,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Genre_genre
Wendell & Wild,Yes,2022-10-28,4300000,12309.0,6.4,"['Animation', 'Adventure', 'Comedy']","stop motion,friend,supernatural horror,transgender boy,demon","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Adventure
Wendell & Wild,Yes,2022-10-28,4300000,12309.0,6.4,"['Animation', 'Adventure', 'Comedy']","stop motion,friend,supernatural horror,transgender boy,demon","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
Yakitori: Soldiers of Misfortune: Season 1 // ヤキトリ: シーズン1,No,2023-05-18,4300000,592.0,6.4,"['Animation', 'Action', 'Adventure']","anime animation,nickname in title,space,galaxy,mission","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Animation
Yakitori: Soldiers of Misfortune: Season 1 // ヤキトリ: シーズン1,No,2023-05-18,4300000,592.0,6.4,"['Animation', 'Action', 'Adventure']","anime animation,nickname in title,space,galaxy,mission","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Action
Yakitori: Soldiers of Misfortune: Season 1 // ヤキトリ: シーズン1,No,2023-05-18,4300000,592.0,6.4,"['Animation', 'Action', 'Adventure']","anime animation,nickname in title,space,galaxy,mission","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Adventure
7 Prisoners // 7 Prisioneiros,Yes,2021-11-11,4200000,8928.0,7.1,"['Crime', 'Drama']","job,southeast brazil,social issues in brazil,prison,trap","To provide a better life for his family in the country, 18-year-old Mateus accepts a job in a junkyard in São Paulo for his new boss, Luca, but becomes trapped in the dangerous world of human trafficking.",Crime
7 Prisoners // 7 Prisioneiros,Yes,2021-11-11,4200000,8928.0,7.1,"['Crime', 'Drama']","job,southeast brazil,social issues in brazil,prison,trap","To provide a better life for his family in the country, 18-year-old Mateus accepts a job in a junkyard in São Paulo for his new boss, Luca, but becomes trapped in the dangerous world of human trafficking.",Drama
After We Collided,No,2020-12-01,4200000,36813.0,5.0,"['Drama', 'Romance']","sequel,birthday,boyfriend girlfriend sex,boyfriend girlfriend conflict,boyfriend girlfriend relationship","Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",Drama
After We Collided,No,2020-12-01,4200000,36813.0,5.0,"['Drama', 'Romance']","sequel,birthday,boyfriend girlfriend sex,boyfriend girlfriend conflict,boyfriend girlfriend relationship","Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",Romance
Carmen Sandiego: Season 2,Yes,2019-10-01,4200000,46265.23757763975,6.6,['Comedy'],"year in title,2010s,2000s,2020s,number in title","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
